Gender,Team tier,Team,Rider,Nationality,Age,Date of birth,Place of birth,Height (m),Weight (kg),Wins,UCI rank,Top result 1,Top result 2,Top result 3,Previous team 1,Previous team 2,Previous team 3,Previous team 4,Previous team 5,Previous team 6,Previous team 7,Previous team 8,Previous team 9,Previous team 10,Previous team 11,Previous team 12,Previous team 13,Previous team 14,Specialty 1,Specialty 2
M,WT,Lotto Intermarché,GRIGNARD Sébastien,Belgium,27,29 April 1999,Mons,1.79,68,0,,3rd National Championships Belgium MU - Road Race ('19),5th KOM Tour of Denmark ('24),8th National Championships Belgium MU - Road Race ('20),Lotto,Lotto Dstny,Lotto Soudal,Lotto - Soudal U23,,,,,,,,,,,Oneday,
M,WT,Lotto Intermarché,GRISEL Matys,France,20,14 July 2005,Creil,,,2,217,GC Tour de Taiwan ('26),stage Tour de Taiwan ('26),Le Tour des 100 Communes ('26),Lotto Development Team,Lotto Dstny Development Team,AG2R Citroën U19 Team,,,,,,,,,,,,Sprint,
M,WT,Lotto Intermarché,GUALDI Simone,Italy,21,16 April 2005,Alzano Lombardo,1.73,61,0,,5th Eschborn-Frankfurt ('26),2nd Le Tour des 100 Communes ('25),4th European Continental Championships MU - Road Race ('25),Wanty - Nippo - ReUz,Wanty - ReUz - Technord,Scuola Ciclismo Cene ASD,,,,,,,,,,,,Oneday,
M,WT,Lotto Intermarché,KOCKELMANN Mathieu,Luxembourg,22,31 January 2004,Schouweiler,1.83,70,2,,stage Tour de Luxembourg ('25),stage Etoile de Bessèges ('26),stage Tour de l'Avenir ('25),Lotto Development Team,Team Lotto Kern-Haus PSD Bank,Team Lotto - Kern Haus,Team Auto Eder,Crabbé Toitures - CC Chevigny Junior,,,,,,,,,,Hills,
M,WT,Lotto Intermarché,MENTEN Milan,Belgium,29,31 October 1996,Bilzen,1.74,68,2,153,Le Samyn ('23),2nd Grand Prix de Denain ('26),stage CRO Race ('21),Lotto,Lotto Dstny,Bingoal Pauwels Sauces WB,Sport Vlaanderen - Baloise,Lotto - Soudal U23,Davo CT - Tongeren Junior,,,,,,,,,Oneday,
M,WT,Lotto Intermarché,ORINS Robin,Belgium,24,6 March 2002,Heestert,,,0,,2nd Liège - Bastogne - Liège U23 ('24),"2x 3rd Paris-Roubaix Espoirs ('24, '23)",4th European Continental Championships MU - ITT ('24),Lotto,Lotto Dstny Development Team,Team Elevate p/b Home Solution Soenens,Black Spoke Pro Cycling Academy,ACROG-Tormans,Acrog - Balen BC Junior,,,,,,,,,Sprint,
M,WT,Lotto Intermarché,ROTA Lorenzo,Italy,31,23 May 1995,Bergamo,1.73,62,2,,GC Sazka Tour ('22),stage Sazka Tour ('22),2nd stage Giro d'Italia ('22),Intermarché - Wanty,Intermarché - Circus - Wanty,Intermarché - Wanty - Gobert Matériaux,Vini Zabù - KTM,Bardiani - CSF,Unieuro Wilier Trevigiani,MG Kvis - Wilier,,,,,,,,Oneday,
M,WT,Lotto Intermarché,RUTSCH Jonas,Germany,28,24 January 1998,Erbach im Odenwald,1.97,82,0,,Gent-Wevelgem / Kattekoers-Ieper ('19),6th Paris - Roubaix ('25),2nd Eschborn-Frankfurt U23 ('18),Intermarché - Wanty,EF Education - EasyPost,EF Education - Nippo,EF Pro Cycling,Team Lotto - Kern Haus,Team Hansen Werbetechnik / VC Frankfurt - LV Hessen,Team Fachklinik Dr. Herzog - SV Sparkassen Versicherung/FROH FD,,,,,,,,Oneday,
M,WT,Lotto Intermarché,SLOCK Liam,Belgium,25,18 September 2000,Ghent,1.88,74,0,,2nd GC Olympia's Tour ('23),5th GC Quatre Jours de Dunkerque ('26),4th La Polynormande ('24),Lotto,Lotto Dstny,Lotto - Soudal U23,GM Recycling Team,Van Moer Logistics Cycling Team,,,,,,,,,,GC,
M,WT,Lotto Intermarché,TAMINIAUX Lionel,Belgium,30,21 May 1996,Ottignies-Louvain-la-Neuve,1.73,74,4,,La Roue Tourangelle ('19),stage Tour of Guangxi ('24),stage Quatre Jours de Dunkerque ('22),Lotto,Lotto Dstny,Alpecin - Deceuninck,Alpecin - Fenix,Bingoal - Wallonie Bruxelles,Wallonie-Bruxelles,WB Aqua Protect Veranclassic,AGO-Aqua Service,WB Veranclassic Aqua Protect,Color Code - Arden 'Beef',Color Code - Aquality Protect,Verandas Willems - Crabbé Toitures - CC Chevigny Junior,,,Oneday,
M,WT,Lotto Intermarché,THOMPSON Reuben,New Zealand,25,15 February 2001,Queenstown,1.83,66,0,,GC Giro Ciclistico della Valle d'Aosta - Mont Blanc ('21),2nd stage Itzulia Basque Country ('24),stage Giro Ciclistico della Valle d'Aosta - Mont Blanc ('22),Lotto,Groupama - FDJ,Equipe continentale Groupama-FDJ,Telco'm - On Clima - Osés,,,,,,,,,,,GC,
M,WT,Lotto Intermarché,VAN BOVEN Luca,Belgium,26,6 January 2000,Zottegem,1.79,68,0,,Trofeo Città di Meldola – G.P. AWC Event ('22),2nd stage Itzulia Basque Country ('25),4th GC Quatre Jours de Dunkerque ('24),Intermarché - Wanty,Bingoal WB,Lotto - Soudal U23,GM Recycling Team,Meubelen Gaverzicht - Glascentra CT,,,,,,,,,,Oneday,
M,WT,Lotto Intermarché,VAN DER HOORN Taco,Netherlands,32,4 December 1993,Rotterdam,1.87,73,8,,Brussels Cycling Classic ('22),Primus Classic ('18),stage Giro d'Italia ('21),Intermarché - Wanty,Intermarché - Circus - Wanty,Intermarché - Wanty - Gobert Matériaux,Team Jumbo-Visma,Roompot - Nederlandse Loterij,Cyclingteam Join's - De Rijke,WV De Jonge Renner,,,,,,,,Oneday,
M,WT,Lotto Intermarché,VAN EETVELT Lennert,Belgium,24,17 July 2001,Binkom,1.76,63,6,,GC UAE Tour ('24),GC Tour of Guangxi ('24),Trofeo Serra Tramuntana ('24),Lotto,Lotto Dstny,Lotto - Soudal U23,Brain² Olympia Tienen,Wim Ruelens Olympia Tienen,,,,,,,,,,Climber,
M,WT,Lotto Intermarché,VAN SINTMAARTENSDIJK Roel,Netherlands,25,8 May 2001,Zuidland,1.97,77,0,,stage Le Tour de Bretagne Cycliste ('23),4th GC ZLM Tour ('24),3rd stage Tour de Slovaquie ('22),Intermarché - Wanty,Circus - ReUz - Technord,VolkerWessels Cycling Team,VolkerWessels Cyclingteam,Willebrord Wil Vooruit,,,,,,,,,,GC,
M,WT,Lotto Intermarché,VEISTROFFER Baptiste,France,26,29 May 2000,Vernon,1.82,73,1,,stage Tour of Oman ('26),stage Le Tour de Bretagne Cycliste ('24),2nd Grand Prix International de la ville de Nogent-sur ('22),Lotto,Decathlon AG2R La Mondiale Development Team,AG2R Citroën Team,VC Pays de Loudéac,,,,,,,,,,,Hills,
M,WT,Lotto Intermarché,WIDAR Jarno,Belgium,20,13 November 2005,Hasselt,1.66,54,0,,"2x GC Giro Ciclistico della Valle d'Aosta - Mont Blanc ('25, '24)",European Continental Championships MU - Road Race ('25),GC Giro d'Italia Next Gen ('24),Lotto Development Team,Lotto Dstny Development Team,Crabbé Toitures - CC Chevigny Junior,,,,,,,,,,,,Climber,
M,WT,Lotto Intermarché,ZIMMERMANN Georg,Germany,28,11 October 1997,Augsburg,1.81,70,5,160,Eschborn-Frankfurt ('26),GC Giro d'Abruzzo ('25),stage Critérium du Dauphiné ('23),Intermarché - Wanty,Intermarché - Circus - Wanty,Intermarché - Wanty - Gobert Matériaux,CCC Team,Tirol KTM Cycling Team,Tirol Cycling Team,Team Felbermayr - Simplon Wels,Team Auto Eder Bayern,,,,,,,Oneday,
M,WT,Lotto Intermarché,ØRN-KRISTOFF Felix,Norway,20,15 March 2006,Stavanger,1.83,76,0,,GC Le Tour de Bretagne Cycliste ('25),stage Le Tour de Bretagne Cycliste ('25),13th Points GC Le Tour de Bretagne Cycliste ('25),Wanty - Nippo - ReUz,AVIA - Rudyco Cycling Team,Stavanger SK,,,,,,,,,,,,GC,
M,WT,Movistar Team,ADRIÀ Roger,Spain,28,18 April 1998,Barcelona,1.79,64,3,,Grand Prix de Wallonie ('24),stage Vuelta a Burgos ('25),stage La Route d'Occitanie - La Dépêche du Midi ('22),Red Bull - BORA - hansgrohe,Equipo Kern Pharma,Lizarte,Huesca la Magia,,,,,,,,,,,Oneday,
M,WT,Movistar Team,ARCAS Jorge,Spain,33,8 July 1992,Sabiñánigo,1.87,68,0,,3rd stage Giro d'Italia ('22),11th GC Tour Poitou - Charentes ('16),13th Giro dell'Appennino ('20),Lizarte,,,,,,,,,,,,,,GC,
M,WT,Movistar Team,AULAR Orluis,Venezuela,29,5 November 1996,Nirgua,1.76,65,12,122,GC CRO Race ('23),Trofeo Matteotti ('24),"5x National Championships Venezuela ME - ITT ('25, '24, '23, '22, '19)",Caja Rural - Seguros RGA,Matrix Powertag,Start Team Gusto,Start - Vaxes Cycling Team,,,,,,,,,,,Hills,
M,WT,Movistar Team,BARRENETXEA Jon,Spain,26,20 April 2000,Gamiz-Fika,1.88,74,4,127,Circuito de Getxo ('24),Tour du Finistère ('26),Boucles de l'Aulne - Châteaulin ('26),Caja Rural - Seguros RGA,Baqué Cycling Team,Gastronomia Baska - Avia - Liftra,,,,,,,,,,,,Oneday,
M,WT,Movistar Team,CANAL Carlos,Spain,24,28 June 2001,Xinzo de Limia,1.79,70,1,151,stage O Gran Camiño ('26),2nd Coppa Agostoni ('25),3rd GC Quatre Jours de Dunkerque ('25),Euskaltel - Euskadi,Burgos - BH,,,,,,,,,,,,,Hills,
M,WT,Movistar Team,CASTRILLO Pablo,Spain,25,2 January 2001,Jaca,1.83,74,2,182,2x stage Vuelta a España ('24),2nd stage Vuelta a España ('25),3rd GC Tour de Langkawi ('23),Equipo Kern Pharma,Lizarte,,,,,,,,,,,,,Climber,
M,WT,Movistar Team,CEPEDA Jefferson Alveiro,Ecuador,30,2 March 1996,El Playón,1.70,61,7,250,GC Tour of Qinghai Lake ('24),Pan-American Continental Championships ME - Road Race ('19),Juegos Suramericanos - Road Race ('18),Caja Rural - Seguros RGA,Team Ecuador,Equipo Bolivia,,,,,,,,,,,,GC,
M,WT,Movistar Team,FORMOLO Davide,Italy,33,25 October 1992,Negrar,1.82,62,6,,Veneto Classic ('23),stage Giro d'Italia ('15),Coppa Agostoni ('23),UAE Team Emirates,BORA - hansgrohe,Cannondale - Drapac Pro Cycling Team,Team Cannondale - Garmin,Cannondale,,,,,,,,,,Climber,
M,WT,Movistar Team,GARCÍA CORTINA Iván,Spain,30,20 November 1995,Gijón,1.83,77,4,,Gran Piemonte ('22),stage Paris-Nice ('20),stage Amgen Tour of California ('19),Bahrain - McLaren,Bahrain Merida,Bahrain Merida Pro Cycling Team,Etixx - Quick Step,Klein Constantia,AWT-GreenWay,,,,,,,,,Oneday,
M,WT,Movistar Team,GARCÍA PIERNA Raúl,Spain,25,23 February 2001,Tres Cantos,1.75,67,3,197,stage Volta Comunitat Valenciana ('26),stage La Route d'Occitanie - CIC ('25),National Championships Spain ME - ITT ('22),Arkéa - B&B Hotels,Equipo Kern Pharma,Lizarte,Polartec - Kometa Junior Team,,,,,,,,,,,GC,
M,WT,Movistar Team,HESSMANN Michel,Germany,25,6 April 2001,Münster,1.91,78,0,,3rd GC Tour de l'Avenir ('22),3rd GC Kreiz Breizh Elites ('21),4th European Continental Championships MU - ITT ('21),Team Visma | Lease a Bike,Jumbo-Visma,Jumbo-Visma Development Team,Team Rose NRW,,,,,,,,,,,Hills,
M,WT,Movistar Team,LÓPEZ Juan Pedro,Spain,28,31 July 1997,Lebrija,1.70,60,2,,GC Tour of the Alps ('24),stage Tour of the Alps ('24),2nd stage Giro d'Italia ('22),Lidl - Trek,Trek - Segafredo,Kometa Cycling Team,Polartec-Kometa,Polartec - Kometa,Polartec - Fundación Contador,RH+ - Polartec-Fundación Contador,Flex - Fundación Alberto Contador,,,,,,,GC,
M,WT,Movistar Team,MACIEJUK Filip,Poland,26,3 September 1999,Pulawy,1.90,78,3,,"2x GC Carpathian Couriers Race in memory of Wacław Felcz ('21, '18)",GC L'Etoile d'Or ('21),"2x National Championships Poland ME - ITT ('25, '24)",Red Bull - BORA - hansgrohe,Bahrain - Victorious,Leopard Pro Cycling,,,,,,,,,,,,TT,
M,WT,Movistar Team,MAS Enric,Spain,31,7 January 1995,Artà,1.77,61,6,211,GC Tour of Guangxi ('19),"3x 2nd GC Vuelta a España ('22, '21, '18)",Giro dell'Emilia ('22),Deceuninck - Quick Step,Quick-Step Floors,Klein Constantia,Specialized - Fundación Contador,Specialized - Fundación Alberto Contador,Club Ciclista Sepelaco,,,,,,,,,Climber,
M,WT,Movistar Team,MILESI Lorenzo,Italy,24,19 March 2002,San Giovanni Bianco,1.80,70,0,214,World Championships MU - ITT ('23),2nd Memorial Marco Pantani ('24),2nd stage Tour de Pologne ('25),Team dsm - firmenich,Development Team DSM,Beltrami TSA - Tre Colli,Ciclistica Trevigliese,,,,,,,,,,,TT,
M,WT,Movistar Team,MORO Manlio,Italy,24,17 March 2002,Pordenone,1.90,81,0,,4th National Championships Italy MU - ITT ('22),6th stage Giro Next Gen ('23),10th National Championships Italy ME - ITT ('25),Zalf Euromobil Fior,Borgo Molino Rinascita Ormelle,,,,,,,,,,,,,Oneday,
M,WT,Movistar Team,NOVÁK Pavel,Czechia,21,3 December 2004,Jindřichův Hradec,1.81,64,0,,Trofeo Piva ('24),stage Giro d'Italia Next Gen ('25),2nd GP Capodarco Comunita Di Capodarco ('25),MBH Bank Ballan CSB,Team Jayco AlUla,Team MBH Bank Colpack Ballan,Q36.5 Pro Cycling Team,Team Colpack Ballan CSB,Ciclistica Trevigliese,,,,,,,,,GC,
M,WT,Movistar Team,OLIVEIRA Nelson,Portugal,37,6 March 1989,Anadia,1.80,67,6,,stage Vuelta a España ('15),"4x National Championships Portugal ME - ITT ('16, '15, '14, '11)",2nd GC Volta a la Comunitat Valenciana ('21),Lampre - Merida,RadioShack - Leopard,RadioShack - Nissan,RadioShack,Xacobeo - Galicia,,,,,,,,,,TT,
M,WT,Movistar Team,PESCADOR Diego,Colombia,21,21 December 2004,Quimbaya,1.74,60,0,,2nd Classica Camp de Morvedre ('26),3rd GC Vuelta Asturias ('26),2nd GP Palio del Recioto ('24),GW Erco Shimano,GW Shimano-Sidermec,Talentos Colombia-Strongman,,,,,,,,,,,,Climber,
M,WT,Movistar Team,QUINTANA Nairo,Colombia,36,4 February 1990,Cómbita,1.67,58,53,243,GC Giro d'Italia ('14),GC Vuelta a España ('16),"2x GC Tirreno-Adriatico ('17, '15)",Team Arkéa Samsic,Colombia es Pasión - Café de Colombia,Cafe de Colombia - Colombia Es Pasion,Boyaca Es Para Vivirla - Lecheboy,,,,,,,,,,,GC,
M,WT,Movistar Team,ROMEO Iván,Spain,22,16 August 2003,Valladolid,1.93,75,6,90,GC Vuelta a Andalucia Ruta Ciclista Del Sol ('26),stage Critérium du Dauphiné ('25),stage Volta a la Comunitat Valenciana ('25),Hagens Berman Axeon,MMR Academy,,,,,,,,,,,,,GC,
M,WT,Movistar Team,ROMO Javier,Spain,27,6 January 1999,Villafranca de los Caballeros,1.84,70,1,220,stage Tour Down Under ('25),2nd GC Tour Down Under ('25),2nd stage Vuelta a España ('25),Astana Qazaqstan Team,Astana - Premier Tech,Baqué Cycling Team,,,,,,,,,,,,GC,
M,WT,Movistar Team,RUBIO Einer,Colombia,28,22 February 1998,Chíquiza,1.64,56,2,,stage Giro d'Italia ('23),stage UAE Tour ('23),2nd GC Vuelta Asturias ('23),Aran Cucine Vejus,,,,,,,,,,,,,,Climber,
M,WT,Movistar Team,SERRANO Gonzalo,Spain,31,17 August 1994,Madrid,1.77,65,5,,GC Tour of Britain ('22),Grand Prix de Wallonie ('23),"2x stage Vuelta a Andalucia Ruta Ciclista Del Sol ('21, '20)",Caja Rural - Seguros RGA,,,,,,,,,,,,,,Hills,
M,WT,Movistar Team,SÁNCHEZ Pelayo,Spain,26,27 March 2000,Tellego,1.77,62,3,,stage Giro d'Italia ('24),Trofeo Pollença - Port d'Andratx ('24),stage Vuelta Asturias ('23),Burgos - BH,MMR Academy,,,,,,,,,,,,,Climber,
M,WT,Movistar Team,TESFATSION Natnael,Eritrea,27,23 May 1999,Asmara,1.75,60,7,73,"2x GC Tour du Rwanda ('22, '20)",2nd Cadel Evans Great Ocean Road Race ('24),stage Quatre Jours de Dunkerque ('26),Lidl - Trek,Drone Hopper - Androni Giocattoli,Androni Giocattoli - Sidermec,NTT Continental Cycling Team,Dimension Data for Qhubeka,,,,,,,,,,Hills,
M,WT,Movistar Team,TORRES Albert,Spain,36,26 April 1990,Ciutadella de Menorca,1.80,70,0,,stage Vuelta Independencia República Dominicana ('17),2nd stage Vuelta Asturias ('24),5th Trofeo Palma ('16),Inteja Dominican Cycling Team,Team Raleigh GAC,Team Ecuador,Androni Giocattoli - Venezuela,Geox-TMC Transformers,,,,,,,,,,GC,
M,WT,Movistar Team,UIJTDEBROEKS Cian,Belgium,23,28 February 2003,Abolens,1.85,68,2,56,GC Tour de l'Ain ('25),GC Tour de l'Avenir ('22),stage Tour de l'Ain ('25),Team Visma | Lease a Bike,BORA - hansgrohe,Team Auto Eder,Acrog - Balen BC Junior,,,,,,,,,,,GC,
M,WT,NSN Cycling Team,ASKEY Lewis,Great Britain,25,4 May 2001,Cannock,1.87,75,2,183,Boucles de l'Aulne - Châteaulin ('25),stage Quatre Jours de Dunkerque ('25),2nd GC Quatre Jours de Dunkerque ('25),Groupama - FDJ,Equipe continentale Groupama-FDJ,Zannata Ride Coventry GSG XGear,,,,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,BENNETT George,New Zealand,36,7 April 1990,Nelson,1.81,58,4,,GC Amgen Tour of California ('17),Gran Piemonte ('20),2nd Il Lombardia ('20),Israel - Premier Tech,UAE Team Emirates,Team Jumbo-Visma,Team LottoNL-Jumbo,Cannondale,RadioShack - Leopard,RadioShack - Nissan,RadioShack,Trek - Livestrong presented by Radioshack,,,,,,GC,
M,WT,NSN Cycling Team,BLACKMORE Joseph,Great Britain,23,23 February 2003,Sidcup,1.81,66,4,,GC Tour de Taiwan ('24),GC Tour du Rwanda ('24),2x stage Tour du Rwanda ('24),Israel - Premier Tech,Israel Premier Tech Academy,Team Inspired,ROTOR Race Team,,,,,,,,,,,GC,
M,WT,NSN Cycling Team,BOIVIN Guillaume,Canada,37,25 May 1989,Montreal,1.80,78,5,,Famenne Ardenne Classic ('18),"3x National Championships Canada ME - Road Race ('21, '15, '09)",stage Tour of Taihu Lake ('17),Israel - Premier Tech,Israel Start-Up Nation,Israel Cycling Academy,Cycling Academy Team,Optum p/b Kelly Benefit Strategies,Cannondale,Cannondale Pro Cycling Team,Spidertech Powered by C10,Spidertech presented by Planet Energy,Planet Energy,,,,,Oneday,
M,WT,NSN Cycling Team,CLARKE Simon,Australia,39,18 July 1986,Melbourne,1.75,63,7,,"2x stage Vuelta a España ('18, '12)",stage Tour de France ('22),Royal Bernard Drôme Classic ('20),Israel - Premier Tech,Team Qhubeka NextHash,EF Pro Cycling,EF Education First,Team EF Education First - Drapac p/b Cannondale,Cannondale - Drapac Pro Cycling Team,Orica GreenEDGE,Pro Team Astana,ISD - Neri,Amica Chips - Knauf,Southaustralia.com-AIS,SouthAustralia.com-AIS,,,Oneday,
M,WT,NSN Cycling Team,CÔTÉ Pier-André,Canada,29,24 April 1997,Gaspé,1.81,74,3,,Pan-American Continental Championships ME - Road Race ('23),Grand Prix Criquielion ('22),National Championships Canada ME - Road Race ('22),Israel - Premier Tech,Israel Premier Tech Academy,Human Powered Health,Rally Cycling,Rally UHC Cycling,Silber Pro Cycling,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,EINHORN Itamar,Israel,28,20 September 1997,Modi'in,1.72,72,11,,"4x stage Tour du Rwanda ('26, '24)","3x stage Tour de Taiwan ('25, '24)","2x Visegrad 4 Bicycle Race Grand Prix Poland ('23, '21)",Israel - Premier Tech,Israel Start-Up Nation,Israel Cycling Academy,Israel Cycling Academy U23,Club Cycliste Chevigny,Verandas Willems - Crabbé Toitures - CC Chevigny Junior,,,,,,,,,Sprint,
M,WT,NSN Cycling Team,FRIGO Marco,Italy,26,2 March 2000,Bassano del Grappa,1.88,70,1,142,stage Tour of the Alps ('25),"2x 2nd stage Vuelta a España ('25, '24)",3rd stage Giro d'Italia ('23),Israel - Premier Tech,Israel Cycling Academy,SEG Racing Academy,Zalf Euromobil Désirée Fior,Danieli 1914 Cycling Team,,,,,,,,,,Climber,
M,WT,NSN Cycling Team,GILMORE Brady,Australia,25,14 April 2001,Kalgoorlie,1.72,70,7,163,GC Tour de Taiwan ('25),stage Volta a Catalunya ('26),"2x 2nd Oceania Continental Championships ME - Road Race ('23, '22)",Israel Premier Tech Academy,ARA | Skip Capital,Israel - Premier Tech,ARA Pro Racing Sunshine Coast,Cycling Development Foundation,,,,,,,,,,Hills,
M,WT,NSN Cycling Team,GIRMAY Biniam,Eritrea,26,2 April 2000,Asmara,1.84,70,18,61,3x stage Tour de France ('24),In Flanders Fields ('22),Points GC Tour de France ('24),Intermarché - Wanty,Intermarché - Circus - Wanty,Intermarché - Wanty - Gobert Matériaux,DELKO,NIPPO DELKO One Provence,UCI WCC Men's Team,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,HIRT Jan,Czechia,35,21 January 1991,Třebíč,1.81,62,5,,GC Tour of Oman ('22),stage Giro d'Italia ('22),GC Int. Österreich-Rundfahrt-Tour of Austria ('16),Israel - Premier Tech,Soudal Quick-Step,Intermarché - Wanty - Gobert Matériaux,CCC Team,Astana Pro Team,CCC Sprandi Polkowice,Etixx,Leopard - Trek Continental Team,,,,,,,GC,
M,WT,NSN Cycling Team,HOFSTETTER Hugo,France,32,13 February 1994,Altkirch,1.70,66,3,,Tro-Bro Léon ('22),Le Samyn ('20),"2x 2nd Le Samyn ('23, '22)",Israel - Premier Tech,Team Arkéa Samsic,Israel Start-Up Nation,"Cofidis, Solutions Crédits",CC Étupes,,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,KOGUT Oded,Israel,25,14 February 2001,Haifa,1.71,77,6,,Gooikse Pijl ('25),"2x stage Cro Race ('25, '24)",GC Dookoła Mazowsza ('23),Israel - Premier Tech,Israel Premier Tech Academy,Israel Cycling Academy,,,,,,,,,,,,Sprint,
M,WT,NSN Cycling Team,KRETSCHY Moritz,Germany,24,12 May 2002,Annaberg-Buchholz,1.83,63,1,,GC Tour du Rwanda ('26),2nd GC Tour de Taiwan ('25),2x stage Alpes Isère Tour ('25),NSN Development Team,Israel Premier Tech Academy,Rad-Net Oßwald,Rad-Net Rose Team,,,,,,,,,,,GC,
M,WT,NSN Cycling Team,LOUVEL Matis,France,26,19 July 1999,Mont Saint Aignan,1.87,77,2,,Druivenkoers - Overijse ('22),Vuelta a Castilla y Leon ('21),2nd Druivenkoers - Overijse ('24),Israel - Premier Tech,Arkéa - B&B Hotels,Team Arkéa Samsic,Groupama - FDJ,VC Rouen 76,,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,LUTSENKO Alexey,Kazakhstan,33,7 September 1992,Petropavl,1.74,74,41,,"2x GC Tour of Oman ('19, '18)",stage Tour de France ('20),Asian Games ME - Road Race ('18),Israel - Premier Tech,Astana Qazaqstan Team,Astana - Premier Tech,Astana Pro Team,Continental Team Astana,,,,,,,,,,GC,
M,WT,NSN Cycling Team,MARTÍ Pau,Spain,21,24 November 2004,Moixent,,,2,,GC Course de la Paix Grand Prix Jeseníky ('25),stage Tour du Rwanda ('26),stage Volta a Portugal ('25),Israel Premier Tech Academy,Drone Hopper-Gsport-Teika,,,,,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,MULLEN Ryan,Ireland,31,7 August 1994,Birkenhead,1.89,77,11,,"7x National Championships Ireland ME - ITT ('25, '23, '21, '19, '18, '17, '15)","3x National Championships Ireland ME - Road Race ('21, '17, '14)",stage Vuelta a San Juan Internacional ('18),Red Bull - BORA - hansgrohe,BORA - hansgrohe,Trek - Segafredo,Cannondale - Drapac Pro Cycling Team,Team Cannondale - Garmin,An Post - Chain Reaction,Team IG - Sigma Sport,,,,,,,,TT,
M,WT,NSN Cycling Team,NEILANDS Krists,Latvia,31,18 August 1994,Kuldīga,1.89,69,9,,GC Tour de Hongrie ('19),Grand Prix de Wallonie ('19),Dwars door het Hageland ('18),Israel - Premier Tech,Israel Start-Up Nation,Israel Cycling Academy,Axeon Hagens Berman,Rietumu - Delfin,,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,PINARELLO Alessandro,Italy,22,12 July 2003,Conegliano,,,1,172,stage O Gran Camiño ('26),2nd GC Tour of Antalya ('24),GP Palio del Recioto ('24),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Borgo Molino Rinascita Ormelle,,,,,,,,,,,Hills,
M,WT,NSN Cycling Team,RAISBERG Nadav,Israel,25,29 March 2001,Dafna,1.78,67,1,,National Championships Israel ME - ITT ('25),3rd National Championships Israel ME - Road Race ('23),4th stage Tour du Rwanda ('23),Israel - Premier Tech,Israel Premier Tech Academy,Israel Cycling Academy,,,,,,,,,,,,GC,
M,WT,NSN Cycling Team,SCHULTZ Nick,Australia,31,13 September 1994,Brisbane,1.80,68,3,,stage Volta a Catalunya ('24),2nd stage Tour de France ('22),stage Herald Sun Tour ('19),Israel - Premier Tech,Team BikeExchange - Jayco,Team BikeExchange,Mitchelton-Scott,Caja Rural - Seguros RGA,ORICA-BikeExchange,SEG Racing Academy,Etixx,,,,,,,Climber,
M,WT,NSN Cycling Team,SHEEHAN Riley,United States,25,16 June 2000,Boulder,1.83,69,2,109,Paris - Tours ('23),Circuit de Wallonie ('26),GC Joe Martin Stage Race ME ('23),Israel - Premier Tech,Denver Disruptors,Premier Tech U23 Cycling Project,Rally Cycling,Sojasun Espoir - ACNC,Aevolo,,,,,,,,,Oneday,
M,WT,NSN Cycling Team,SMITH Dion,New Zealand,33,3 March 1993,Taupaki,1.79,67,2,,Coppa Sabatini ('20),Volta NXT Classic ME ('25),Beaumont Trophy ('16),Intermarché - Wanty,Intermarché - Circus - Wanty,Team BikeExchange - Jayco,Team BikeExchange,Mitchelton-Scott,Wanty - Groupe Gobert,One Pro Cycling,Hincapie Racing Team,Hincapie Sportswear Development Team,Champion System Pro Cycling Team,,,,,Hills,
M,WT,NSN Cycling Team,STEWART Jake,Great Britain,26,2 October 1999,Coventry,1.79,66,4,,stage Critérium du Dauphiné ('25),2nd Omloop Het Nieuwsblad ME ('21),"2x stage Tour de l'Ain ('23, '22)",Israel - Premier Tech,Groupama - FDJ,Equipe continentale Groupama-FDJ,Swinnerton Cycles,,,,,,,,,,,Hills,
M,WT,NSN Cycling Team,STRONG Corbin,New Zealand,26,30 April 2000,Invercargill,1.73,63,8,39,GC Arctic Race of Norway ('25),GC Tour de Wallonie ('25),Giro del Veneto ('24),Israel - Premier Tech,SEG Racing Academy,St George Continental Cycling Team,Team Skoda Fruzio,,,,,,,,,,,Hills,
M,WT,NSN Cycling Team,TENE Rotem,Israel,25,30 March 2001,Hod Hasharon,1.80,72,2,,stage Volta a Portugal ('25),National Championships Israel ME - Road Race ('25),2nd stage Tour du Rwanda ('25),NSN Development Team,Israel Premier Tech Academy,Israel Cycling Academy,Cycling Team Luc Wallays - Jonge Renners,Crabbé Toitures - CC Chevigny Junior,,,,,,,,,,Sprint,
